,Kolkata Knight Riders,Royal Challengers Bangalore,Kings XI Punjab,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,Sunrisers Hyderabad,Deccan Chargers,Delhi Daredevils,Delhi Capitals,Total Wickets
SL Malinga,23,15,27,37,12,0,13,20,22,1,188
DJ Bravo,21,19,26,5,16,31,19,10,12,7,175
A Mishra,20,15,23,14,33,21,9,11,6,0,169
PP Chawla,10,19,15,19,21,28,11,8,21,3,164
Harbhajan Singh,17,25,24,24,13,2,8,10,22,3,161
R Ashwin,20,17,20,6,19,22,10,5,23,2,153
B Kumar,28,18,22,11,13,18,4,3,5,8,146
SP Narine,0,16,31,15,10,24,11,2,23,0,143
UT Yadav,13,14,31,15,11,16,14,5,10,1,137
R Vinay Kumar,24,6,5,18,15,15,4,14,13,0,127
RA Jadeja,15,21,14,2,17,15,5,8,12,6,122
A Nehra,8,24,16,13,11,20,2,9,9,0,121
Z Khan,21,13,17,16,7,10,3,13,7,0,119
JJ Bumrah,13,23,18,8,11,0,12,0,8,12,119
Sandeep Sharma,11,25,8,10,3,18,11,0,16,4,117
MM Sharma,11,7,8,2,8,24,15,0,13,0,100
PP Ojha,12,13,9,23,11,9,1,0,13,0,99
R Bhatia,5,3,8,11,8,14,7,13,8,0,82
