,Kolkata Knight Riders,Royal Challengers Bangalore,Kings XI Punjab,Chennai Super Kings,Rajasthan Royals,Mumbai Indians,Sunrisers Hyderabad,Deccan Chargers,Delhi Daredevils,Delhi Capitals,Total_wickets
SP Narine,0,9,16,3,5,11,4,2,13,0,63
UT Yadav,5,9,11,7,6,6,6,2,6,0,58
R Vinay Kumar,10,3,2,9,9,6,4,8,5,0,56
YS Chahal,3,0,2,2,2,7,5,0,3,0,24
IK Pathan,2,8,1,6,4,7,1,6,6,0,41
Mohammed Shami,2,7,1,4,7,7,6,0,0,7,41
DJ Bravo,11,13,16,1,10,23,14,3,7,5,103
JA Morkel,2,7,6,1,7,4,0,6,4,0,37
JP Faulkner,4,4,5,4,2,8,8,0,3,0,38
SR Watson,5,4,7,6,0,4,9,2,4,0,41
SL Malinga,17,9,22,24,6,0,8,13,14,1,114
JJ Bumrah,7,13,12,4,8,0,8,0,3,6,61
B Kumar,19,11,12,4,7,11,1,0,3,6,74
S Kaul,4,2,4,1,2,5,0,0,2,1,21
RP Singh,10,6,4,8,10,7,2,0,6,0,53
PP Ojha,2,3,3,6,2,1,0,0,6,0,23
M Morkel,2,6,9,2,4,6,4,4,1,0,38
K Rabada,3,8,6,4,5,8,9,0,0,0,43
A Nortje,1,5,0,2,1,2,0,0,0,0,11
