,Player Name,Total_runs,Total_Fours,Total_sixes,Team_name
15,MS Dhoni,2525,200,159,Chennai Super Kings
25,KA Pollard,1882,114,125,Mumbai Indians
6,AB de Villiers,1533,118,123,Royal Challengers Bangalore
5,V Kohli,1318,93,78,Royal Challengers Bangalore
26,RG Sharma,1086,121,89,Mumbai Indians
27,HH Pandya,1011,64,70,Mumbai Indians
1,AD Russell,840,55,78,Kolkata Knight Riders
10,DA Miller,797,48,52,Kings XI Punjab
17,SK Raina,785,64,41,Chennai Super Kings
0,YK Pathan,749,93,56,Kolkata Knight Riders
28,AT Rayudu,736,71,48,Mumbai Indians
16,RA Jadeja,734,84,46,Chennai Super Kings
29,Harbhajan Singh,658,56,35,Mumbai Indians
19,DJ Bravo,648,59,45,Chennai Super Kings
18,JA Morkel,606,38,38,Chennai Super Kings
2,KD Karthik,479,106,53,Kolkata Knight Riders
20,BJ Hodge,440,53,24,Rajasthan Royals
35,RG Sharma,438,121,89,Deccan Chargers
31,DA Warner,410,46,30,Sunrisers Hyderabad
41,JP Duminy,403,56,48,Delhi Daredevils
8,CH Gayle,387,38,45,Royal Challengers Bangalore
30,KS Williamson,383,35,11,Sunrisers Hyderabad
40,KM Jadhav,371,40,25,Delhi Daredevils
4,EJG Morgan,369,29,33,Kolkata Knight Riders
12,AR Patel,368,30,26,Kings XI Punjab
13,IK Pathan,367,63,26,Kings XI Punjab
21,AM Rahane,366,43,16,Rajasthan Royals
14,KL Rahul,366,34,26,Kings XI Punjab
11,PP Chawla,325,42,13,Kings XI Punjab
24,JP Faulkner,324,30,21,Rajasthan Royals
45,RR Pant,323,48,44,Delhi Capitals
43,KD Karthik,313,106,53,Delhi Daredevils
22,STR Binny,307,26,19,Rajasthan Royals
3,MK Tiwary,305,57,17,Kolkata Knight Riders
23,SPD Smith,303,58,26,Rajasthan Royals
42,IK Pathan,300,63,26,Delhi Daredevils
44,CH Morris,290,29,23,Delhi Daredevils
33,MK Pandey,281,44,25,Sunrisers Hyderabad
32,NV Ojha,276,25,25,Sunrisers Hyderabad
37,JP Duminy,262,56,48,Deccan Chargers
36,Y Venugopal Rao,261,31,17,Deccan Chargers
39,CL White,247,19,25,Deccan Chargers
34,DJ Hooda,226,16,17,Sunrisers Hyderabad
7,R Vinay Kumar,226,17,9,Royal Challengers Bangalore
9,SS Tiwary,207,31,17,Royal Challengers Bangalore
38,DT Christian,204,16,14,Deccan Chargers
46,AR Patel,169,30,26,Delhi Capitals
47,MP Stoinis,146,38,14,Delhi Capitals
48,SS Iyer,122,24,16,Delhi Capitals
49,S Dhawan,108,55,12,Delhi Capitals
